Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,0.046478,0.046875,0.040954,0.040982,0.040982,15153
2020-03-02,0.040981,0.046608,0.040932,0.045418,0.045418,19136
2020-03-03,0.045401,0.046521,0.043303,0.045775,0.045775,11225
2020-03-04,0.045775,0.046177,0.043697,0.045359,0.045359,7606
2020-03-05,0.045325,0.046673,0.043285,0.045062,0.045062,15315
2020-03-06,0.045062,0.048768,0.043067,0.046860,0.046860,28717
2020-03-07,0.046862,0.047181,0.042495,0.043004,0.043004,26768
2020-03-08,0.043016,0.043145,0.039567,0.041061,0.041061,22238
2020-03-09,0.041048,0.041353,0.037183,0.039291,0.039291,25367
2020-03-10,0.039314,0.043579,0.039061,0.041557,0.041557,28759
2020-03-11,0.041553,0.046648,0.039884,0.043657,0.043657,35894
2020-03-12,0.043660,0.049857,0.025670,0.025723,0.025723,84090
2020-03-13,0.025722,0.034529,0.023798,0.030188,0.030188,33074
2020-03-14,0.030218,0.032524,0.028454,0.029421,0.029421,10779
2020-03-15,0.029421,0.032740,0.028129,0.030758,0.030758,8630
2020-03-16,0.030755,0.031457,0.026478,0.029534,0.029534,19034
2020-03-17,0.029535,0.040769,0.029535,0.034060,0.034060,52366
2020-03-18,0.038257,0.038537,0.031239,0.034015,0.034015,22339
2020-03-19,0.033823,0.037455,0.031873,0.033221,0.033221,41631
2020-03-20,0.033262,0.037713,0.032663,0.033374,0.033374,16110
2020-03-21,0.033396,0.036695,0.032570,0.034032,0.034032,3863
2020-03-22,0.034081,0.034897,0.031948,0.032367,0.032367,4859
2020-03-23,0.032367,0.034930,0.030785,0.034835,0.034835,9630
2020-03-24,0.034831,0.037629,0.033213,0.036841,0.036841,18414
2020-03-25,0.036841,0.037233,0.033302,0.033997,0.033997,5921
2020-03-26,0.034012,0.036653,0.033991,0.036141,0.036141,11341
2020-03-27,0.036155,0.037682,0.033379,0.034220,0.034220,15636
2020-03-28,0.034262,0.036358,0.033026,0.033820,0.033820,7071
2020-03-29,0.033820,0.038322,0.033377,0.034321,0.034321,19523
2020-03-30,0.034312,0.039844,0.034063,0.038533,0.038533,14551
2020-03-31,0.038492,0.039167,0.034831,0.037312,0.037312,25958
2020-04-01,0.037312,0.040661,0.036173,0.038686,0.038686,18306
2020-04-02,0.038669,0.039568,0.037045,0.038052,0.038052,13903
2020-04-03,0.038074,0.038353,0.035789,0.037710,0.037710,8212
2020-04-04,0.037710,0.038321,0.036228,0.037504,0.037504,9498
2020-04-05,0.037520,0.038217,0.036185,0.038043,0.038043,9171
2020-04-06,0.037748,0.044622,0.037658,0.044595,0.044595,40280
2020-04-07,0.044600,0.047953,0.041783,0.043399,0.043399,42227
2020-04-08,0.043399,0.045629,0.041648,0.045239,0.045239,20770
2020-04-09,0.045232,0.048703,0.039764,0.041244,0.041244,87404
2020-04-10,0.041244,0.047183,0.037571,0.040957,0.040957,200675
2020-04-11,0.040957,0.044365,0.040012,0.041524,0.041524,28818
2020-04-12,0.041493,0.051092,0.041282,0.046946,0.046946,158418
2020-04-13,0.046909,0.046909,0.043724,0.044293,0.044293,15888
2020-04-14,0.044312,0.057843,0.042754,0.052826,0.052826,155968
2020-04-15,0.052780,0.054359,0.047057,0.047741,0.047741,158956
2020-04-16,0.047738,0.053766,0.046437,0.049110,0.049110,59858
2020-04-17,0.049123,0.050348,0.046542,0.048931,0.048931,17134
2020-04-18,0.048945,0.050195,0.048143,0.049588,0.049588,10753
2020-04-19,0.049573,0.049619,0.046284,0.047424,0.047424,15796
2020-04-20,0.047418,0.048962,0.044429,0.046482,0.046482,17933
2020-04-21,0.046483,0.047706,0.044946,0.047499,0.047499,9085
2020-04-22,0.047502,0.047933,0.045674,0.047326,0.047326,10014
2020-04-23,0.047348,0.048688,0.045276,0.045743,0.045743,16464
2020-04-24,0.045754,0.047572,0.045734,0.047317,0.047317,8195
2020-04-25,0.047317,0.047973,0.045006,0.046001,0.046001,11391
2020-04-26,0.046002,0.047445,0.044311,0.047212,0.047212,17962
2020-04-27,0.047235,0.049858,0.045274,0.047417,0.047417,24361
2020-04-28,0.047420,0.049819,0.045529,0.049285,0.049285,17005
2020-04-29,0.049273,0.052852,0.046199,0.050792,0.050792,45358
2020-04-30,0.047542,0.050868,0.046220,0.050157,0.050157,22729
