Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,1.296558,1.403927,1.286442,1.359884,1.359884,6848722
2020-03-02,1.360956,1.450520,1.325526,1.390363,1.390363,6567940
2020-03-03,1.390335,1.405661,1.346093,1.361569,1.361569,4917658
2020-03-04,1.361060,1.369418,1.319968,1.339843,1.339843,3873367
2020-03-05,1.341601,1.416477,1.341278,1.394614,1.394614,4661360
2020-03-06,1.394761,1.487115,1.384626,1.463769,1.463769,6235605
2020-03-07,1.464165,1.465684,1.347403,1.377539,1.377539,5425878
2020-03-08,1.378003,1.379552,1.158797,1.158797,1.158797,4802645
2020-03-09,1.158261,1.189513,1.050507,1.116938,1.116938,5509570
2020-03-10,1.122732,1.279532,1.122732,1.231188,1.231188,7563069
2020-03-11,1.231036,1.269583,1.145728,1.193618,1.193618,5999365
2020-03-12,1.193884,1.201533,0.680106,0.688316,0.688316,5720060
2020-03-13,0.684225,0.899607,0.561518,0.819794,0.819794,5422733
2020-03-14,0.823128,0.865345,0.746833,0.762958,0.762958,3080516
2020-03-15,0.762958,0.922015,0.757214,0.853579,0.853579,4573601
2020-03-16,0.854415,0.895966,0.723245,0.800426,0.800426,4038236
2020-03-17,0.800481,0.949280,0.800481,0.931162,0.931162,6998173
2020-03-18,0.931435,1.046744,0.929053,1.039945,1.039945,14050383
2020-03-19,1.040861,1.220880,0.999357,1.166544,1.166544,14450548
2020-03-20,1.165592,1.235523,0.982492,1.070973,1.070973,10119966
2020-03-21,1.071406,1.112867,1.014292,1.038027,1.038027,6981976
2020-03-22,1.038449,1.089164,0.954915,0.957454,0.957454,5335986
2020-03-23,0.957756,1.044472,0.949455,1.027969,1.027969,8040659
2020-03-24,1.029166,1.062200,0.995783,1.048375,1.048375,5436175
2020-03-25,1.048726,1.077454,1.006792,1.023957,1.023957,5083990
2020-03-26,1.024704,1.028944,0.994107,1.015026,1.015026,4044036
2020-03-27,1.014702,1.044073,1.012713,1.018820,1.018820,3462668
2020-03-28,1.021250,1.021250,0.960443,0.976739,0.976739,4154806
2020-03-29,0.977236,0.977511,0.896573,0.907140,0.907140,3838222
2020-03-30,0.907632,0.975528,0.903484,0.959597,0.959597,4344105
2020-03-31,0.957180,0.977535,0.952750,0.969642,0.969642,4469728
2020-04-01,0.969642,0.971513,0.931200,0.971513,0.971513,3906412
2020-04-02,0.970996,1.017587,0.961369,0.983794,0.983794,4550169
2020-04-03,0.983825,1.016954,0.974563,0.974819,0.974819,4075780
2020-04-04,0.974819,0.987160,0.965786,0.982170,0.982170,3901755
2020-04-05,0.982287,0.983727,0.965302,0.975327,0.975327,3205335
2020-04-06,0.974771,1.037170,0.973483,1.030354,1.030354,5212307
2020-04-07,1.030774,1.105227,1.017768,1.038452,1.038452,5464863
2020-04-08,1.037848,1.069339,1.034404,1.048916,1.048916,2920833
2020-04-09,1.048196,1.056914,1.023168,1.046532,1.046532,3629228
2020-04-10,1.046126,1.047387,0.952110,0.970121,0.970121,4323753
2020-04-11,0.970121,0.983961,0.957826,0.970734,0.970734,3124832
2020-04-12,0.970651,1.008187,0.963712,0.987873,0.987873,3852025
2020-04-13,0.988490,0.988490,0.944739,0.966166,0.966166,3815289
2020-04-14,0.965932,1.027857,0.964022,1.002323,1.002323,4681144
2020-04-15,1.001817,1.109302,0.998718,1.025853,1.025853,9607039
2020-04-16,1.025114,1.067583,0.982302,1.047400,1.047400,6855218
2020-04-17,1.047455,1.060051,1.026392,1.052295,1.052295,4072199
2020-04-18,1.053247,1.077323,1.050884,1.065877,1.065877,4552848
2020-04-19,1.065933,1.071181,1.040879,1.048970,1.048970,3672698
2020-04-20,1.047282,1.063658,0.991649,1.002597,1.002597,4424895
2020-04-21,1.003201,1.016001,0.956373,0.982709,0.982709,5430336
2020-04-22,0.982837,1.027464,0.978346,1.018248,1.018248,3822610
2020-04-23,1.018419,1.033293,0.993888,1.019287,1.019287,4529226
2020-04-24,1.019952,1.054584,1.019952,1.052111,1.052111,4562230
2020-04-25,1.051958,1.067099,1.043050,1.048492,1.048492,4210519
2020-04-26,1.048509,1.064734,1.044461,1.064734,1.064734,5134914
2020-04-27,1.065853,1.174789,1.053547,1.172157,1.172157,10461439
2020-04-28,1.173118,1.326585,1.126707,1.277173,1.277173,14239133
2020-04-29,1.278287,1.307209,1.245032,1.290990,1.290990,12269097
2020-04-30,1.219909,1.279981,1.219712,1.256849,1.256849,7428618
