Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,85.772682,89.375572,83.729500,85.105598,85.105598,765429156
2020-03-02,85.111610,91.162613,84.514633,89.738174,89.738174,803239979
2020-03-03,89.740311,90.350021,87.725021,88.589973,88.589973,729643776
2020-03-04,88.614677,89.780426,86.278885,87.011284,87.011284,667762323
2020-03-05,86.986221,92.576279,86.986221,90.141220,90.141220,657743095
2020-03-06,90.117630,93.539696,89.752426,93.248642,93.248642,687180264
2020-03-07,93.232994,93.337601,88.214119,88.327759,88.327759,1565980270
2020-03-08,88.315346,88.315346,74.702431,74.820778,74.820778,684992534
2020-03-09,74.736710,75.743889,68.872292,73.424698,73.424698,728171289
2020-03-10,73.541801,75.734879,72.726822,74.833038,74.833038,630281909
2020-03-11,74.853157,75.174988,68.934593,72.073425,72.073425,581171477
2020-03-12,72.092041,72.334633,45.529202,45.529202,45.529202,639947953
2020-03-13,45.777351,52.189930,34.906933,50.926090,50.926090,763167994
2020-03-14,50.985203,51.135231,45.735229,46.328629,46.328629,476112432
2020-03-15,46.288437,50.033661,45.869213,47.499184,47.499184,449031165
2020-03-16,47.471104,47.551350,39.610912,42.945484,42.945484,483830041
2020-03-17,42.947586,46.011608,42.826881,44.619865,44.619865,436624178
2020-03-18,44.664059,59.593079,44.280563,59.593079,59.593079,773775691
2020-03-19,59.784859,68.897789,55.998653,65.849304,65.849304,1003586345
2020-03-20,65.830124,76.090889,62.554726,71.038284,71.038284,1042135791
2020-03-21,71.048874,75.005775,68.425163,71.290016,71.290016,986049949
2020-03-22,71.320389,73.020226,63.465157,63.831505,63.831505,730950698
2020-03-23,63.739540,69.887627,62.023079,69.887627,69.887627,736364751
2020-03-24,69.964539,71.091164,68.022484,69.413078,69.413078,639036031
2020-03-25,69.397125,69.721443,66.609810,67.582504,67.582504,624452432
2020-03-26,67.549507,68.525276,66.902344,67.885399,67.885399,545562325
2020-03-27,67.929420,72.263512,66.811783,69.266968,69.266968,631912467
2020-03-28,69.232468,69.232468,62.860870,65.109268,65.109268,696562609
2020-03-29,65.185486,65.421425,61.073341,61.073341,61.073341,498397549
2020-03-30,61.058578,66.699333,60.959335,66.100601,66.100601,585147950
2020-03-31,66.064400,66.256020,64.426163,65.148445,65.148445,516333153
2020-04-01,65.148445,66.015503,62.587128,66.015503,66.015503,537358330
2020-04-02,65.931870,70.472527,65.203148,67.578804,67.578804,591293709
2020-04-03,67.582741,69.695465,66.981728,67.804245,67.804245,570157993
2020-04-04,67.797752,69.124237,67.128769,68.734337,68.734337,574298371
2020-04-05,68.745644,68.833588,66.135048,67.057907,67.057907,510493895
2020-04-06,67.053612,72.607918,67.036957,72.525055,72.525055,679611798
2020-04-07,72.392448,75.536575,70.698746,72.003761,72.003761,711647906
2020-04-08,72.030823,75.718552,71.230011,75.055893,75.055893,743872421
2020-04-09,75.061783,83.098312,74.293289,82.889946,82.889946,960424911
2020-04-10,82.920876,83.115540,70.964813,74.497040,74.497040,955922250
2020-04-11,74.420174,76.975647,73.367065,74.556038,74.556038,828165942
2020-04-12,74.568581,77.028671,73.311707,75.094749,75.094749,740225924
2020-04-13,75.116859,75.116859,70.982147,73.232071,73.232071,822272099
2020-04-14,73.160591,74.321167,71.955406,71.994888,71.994888,713557788
2020-04-15,71.988800,73.575287,70.157433,70.721954,70.721954,683118900
2020-04-16,70.716049,76.484390,68.158577,76.012360,76.012360,929231360
2020-04-17,76.055176,77.585114,74.886169,76.997643,76.997643,759611121
2020-04-18,76.933556,80.088135,76.795074,79.985779,79.985779,878844408
2020-04-19,79.943329,83.497780,78.822227,80.844917,80.844917,1008091361
2020-04-20,80.938240,82.686768,73.903046,75.062309,75.062309,1005447850
2020-04-21,74.898796,75.990196,73.698975,74.876221,74.876221,758115398
2020-04-22,74.838295,81.676010,74.499565,80.701004,80.701004,903671788
2020-04-23,80.695412,82.253746,79.644775,80.695045,80.695045,905211135
2020-04-24,80.818871,82.823135,80.818871,81.920044,81.920044,699996322
2020-04-25,81.907219,86.441757,81.381935,85.659309,85.659309,862671932
2020-04-26,85.630219,87.888237,83.249535,83.934944,83.934944,905216410
2020-04-27,83.951828,85.193436,81.203812,82.804604,82.804604,842372385
2020-04-28,82.820168,83.001755,81.001205,82.902809,82.902809,744465561
2020-04-29,82.936859,86.085815,82.314827,85.735497,85.735497,956420774
2020-04-30,81.342346,83.996849,81.342346,83.668846,83.668846,826929728
